Sample,Aligner,Reference,Total,Mapped,Unmapped,mQ0,PercentMapped,Secondary,Supplementary
871_70_TRL_363,bowtie2,burbot,1494524,1295237,199287,15408,86.67,0,0
871_70_TRL_363,bowtie2,cod,1494524,454723,1039801,25271,30.43,0,0
871_70_TRL_363,bwa,burbot,1494524,1292764,201760,81686,86.66,0,18469
871_70_TRL_363,bwa,cod,1494524,445165,1049359,65082,29.96,0,3680
871_71_TRL_421,bowtie2,burbot,820654,703530,117124,8703,85.73,0,0
871_71_TRL_421,bowtie2,cod,820654,249780,570874,14303,30.44,0,0
871_71_TRL_421,bwa,burbot,820654,702096,118558,47321,85.71,0,8893
871_71_TRL_421,bwa,cod,820654,243821,576833,37450,29.89,0,2054
871_72_TRL_571,bowtie2,burbot,969375,827290,142085,9849,85.34,0,0
871_72_TRL_571,bowtie2,cod,969375,290107,679268,16414,29.93,0,0
871_72_TRL_571,bwa,burbot,969375,824748,144627,51537,85.21,0,8224
871_72_TRL_571,bwa,cod,969375,282112,687263,41689,29.27,0,2256
871_73_TRL_571,bowtie2,burbot,1468330,1293125,175205,13003,88.07,0,0
871_73_TRL_571,bowtie2,cod,1468330,474380,993950,25813,32.31,0,0
871_73_TRL_571,bwa,burbot,1468330,1290920,177410,82924,88.04,0,15425
871_73_TRL_571,bwa,cod,1468330,465748,1002582,71465,31.91,0,4138
871_74_TRL_599,bowtie2,burbot,1461492,1265273,196219,13547,86.57,0,0
871_74_TRL_599,bowtie2,cod,1461492,458933,1002559,25253,31.40,0,0
871_74_TRL_599,bwa,burbot,1461492,1262243,199249,80009,86.51,0,15211
871_74_TRL_599,bwa,cod,1461492,449056,1012436,68038,30.91,0,3960
871_75_TRL_449,bowtie2,burbot,708367,599516,108851,6842,84.63,0,0
871_75_TRL_449,bowtie2,cod,708367,215304,493063,12273,30.39,0,0
871_75_TRL_449,bwa,burbot,708367,597061,111306,38913,84.38,0,4290
871_75_TRL_449,bwa,cod,708367,209586,498781,31350,29.76,0,1707
871_76_TOL_358,bowtie2,burbot,734576,642343,92233,7291,87.44,0,0
871_76_TOL_358,bowtie2,cod,734576,230085,504491,12922,31.32,0,0
871_76_TOL_358,bwa,burbot,734576,641224,93352,42626,87.47,0,10495
871_76_TOL_358,bwa,cod,734576,225019,509557,34582,30.83,0,2047
871_77_TOL_360,bowtie2,burbot,1116625,944426,172199,10126,84.58,0,0
871_77_TOL_360,bowtie2,cod,1116625,341842,774783,19095,30.61,0,0
871_77_TOL_360,bwa,burbot,1116625,943105,173520,59902,84.59,0,9747
871_77_TOL_360,bwa,cod,1116625,333832,782793,50816,30.07,0,2789
871_78_TOL_325,bowtie2,burbot,914486,761529,152957,9358,83.27,0,0
871_78_TOL_325,bowtie2,cod,914486,276058,638428,15614,30.19,0,0
871_78_TOL_325,bwa,burbot,914486,756624,157862,50766,82.87,0,7074
871_78_TOL_325,bwa,cod,914486,265862,648624,41386,29.23,0,2013
871_79_TOL_355,bowtie2,burbot,984048,800088,183960,10418,81.31,0,0
871_79_TOL_355,bowtie2,cod,984048,282897,701151,16711,28.75,0,0
871_79_TOL_355,bwa,burbot,984048,795237,188811,52426,80.98,0,8739
871_79_TOL_355,bwa,cod,984048,274423,709625,41169,28.05,0,2209
